Geophone ID,X,Y,Z
L01G-01,1038.849,989.776,99.835
L01G-02,1033.854,990.138,99.869
L01G-03,1028.881,990.503,99.728
L01G-04,1023.873,990.888,99.744
L01G-05,1018.91,991.207,99.543
L01G-06,1013.919,991.431,99.381
L01G-07,1008.944,991.918,99.52
L01G-08,1003.986,992.283,99.69
L01G-09,998.999,992.47,99.804
L01G-10,994.031,992.87,99.827
L01G-11,989.028,993.165,99.837
L01G-12,983.49,993.597,100.029
L01G-13,978.509,993.629,100.033
L01G-14,973.478,993.548,99.87
L01G-15,968.495,993.503,99.664
L01G-16,963.52,993.487,99.485
L01G-17,958.636,992.78,99.243
L01G-18,954.009,990.946,99.064
L01G-19,949.883,988.12,99.021
L01G-20,946.695,984.436,98.709
L01G-21,943.079,981.051,98.037
L01G-22,939.445,977.732,97.075
L01G-23,935.7587,974.4284,96.541
L01G-24,932.067,971.12,96.006
L01T-01,1048.943,988.907,99.489
L01T-02,1043.927,989.59,99.691
L01T-03,927.975,967.533,95.679
L01T-04,923.588,964.084,95.559
