Geophone ID,X,Y,Z
L2G-01,1008.053,959.817,94.974
L2G-02,1007.206,960.374,94.968
L2G-03,1006.239,960.787,94.927
L2G-04,1005.49,961.479,95.038
L2G-05,1004.572,961.939,95.061
L2G-06,1003.799,962.507,95.047
L2G-07,1002.775,962.65,94.98
L2G-08,1001.788,963.098,94.978
L2G-09,1000.851,963.284,94.954
L2G-10,1000.046,964.013,95.137
L2G-11,999.167,964.656,95.312
L2G-12,998.524,965.406,95.323
L2G-13,997.884,966.113,95.517
L2G-14,997.246,966.854,95.727
L2G-15,996.538,967.545,95.786
L2G-16,995.819,968.278,95.721
L2G-17,995.164,969.018,95.667
L2G-18,994.509,969.713,95.585
L2G-19,994.015,970.709,95.606
L2G-20,993.295,971.429,95.547
L2G-21,992.642,972.091,95.361
L2G-22,991.989,972.856,95.4
L2G-23,991.234,973.517,95.438
L2G-24,990.486,974.141,95.387
L2T-01,1010.508,958.636,94.881
L2T-02,1009.371,959.178,94.934
L2T-03,989.675,974.664,95.337
L2T-04,988.607,974.952,95.326
